PRODUCTO;CODIGO;PESO UNITARIO (KGS);UNIDADES POR BULTO;PRECIO LISTA (POR BULTO SIN IVA);PRECIO LISTA (POR UNIDAD SIN IVA);PRECIO LISTA (POR BULTO CON IVA);PRECIO LISTA (POR UNIDAD CON IVA);PRECIO SUGERIDO A PUBLICO POR UNIDAD
EXCELLENT FORMULA PUPPY ;12286478;15;1; 2.412,02 ; 2.412,02 ; 2.918,53 ; 2.918,53 ; 3.735,72 
EXCELLENT FORMULA PUPPY ;12286479;20;1; 3.045,61 ; 3.045,61 ; 3.685,20 ; 3.685,20 ; 4.717,04 
EXCELLENT FORMULA ADULT DOG;12286506;15;1; 2.111,52 ; 2.111,52 ; 2.554,92 ; 2.554,92 ; 3.270,30 
EXCELLENT FORMULA ADULT DOG;12286610;20;1; 2.693,23 ; 2.693,23 ; 3.258,80 ; 3.258,80 ; 4.171,28 
EXCELLENT ADULT SKIN CARE CON CORDERO;12427529;3;6; 3.910,00 ; 651,67 ; 4.731,10 ; 788,52 ; 1.025,06 
EXCELLENT ADULT SKIN CARE CON CORDERO;12427534;15;1; 2.572,12 ; 2.572,12 ; 3.112,27 ; 3.112,27 ; 3.983,72 
EXCELLENT KITTEN Chicken & Rice;12286503;1;6; 2.268,03 ; 378,00 ; 2.744,33 ; 457,39 ; 617,47 
EXCELLENT KITTEN Chicken & Rice;12286500;7,5;1; 2.209,88 ; 2.209,88 ; 2.673,95 ; 2.673,95 ; 3.476,13 
EXCELLENT ADULT CAT Chicken & Rice;12286483;1;6; 2.068,71 ; 344,79 ; 2.503,15 ; 417,18 ; 563,20 
EXCELLENT ADULT CAT Chicken & Rice;12286484;3;6; 5.602,49 ; 933,75 ; 6.779,01 ; 1.129,83 ; 1.525,27 
EXCELLENT ADULT CAT Chicken & Rice;12286505;7,5;1; 2.012,12 ; 2.012,12 ; 2.434,68 ; 2.434,68 ; 3.165,07 
EXCELLENT ADULT CAT Chicken & Rice;12286507;15;1; 3.882,02 ; 3.882,02 ; 4.697,25 ; 4.697,25 ; 6.012,48 
EXCELLENT ADULT CAT RED. CAL. CH&R ;12286522;1;6; 2.304,14 ; 384,02 ; 2.788,00 ; 464,68 ; 627,30 
EXCELLENT ADULT CAT RED. CAL. CH&R ;12286510;7,5;1; 2.242,16 ; 2.242,16 ; 2.713,02 ; 2.713,02 ; 3.526,92 
EXCELLENT URINARY CAT CH&R;12286521;1;6; 2.304,14 ; 384,02 ; 2.788,00 ; 464,68 ; 627,30 
EXCELLENT URINARY CAT CH&R;12286501;7,5;1; 2.242,16 ; 2.242,16 ; 2.713,02 ; 2.713,02 ; 3.526,92 
SUPERCOAT ADVANCED PUPPY ALL BREED;12431880;22;1; 3.298,13 ; 3.298,13 ; 3.990,74 ; 3.990,74 ; 5.108,14 
SUPERCOAT ADVANCED ADULT DOG ALL BREED ;12429148;22;1; 2.960,64 ; 2.960,64 ; 3.582,38 ; 3.582,38 ; 4.585,44 
SUPERCOAT Maintenance Perro Adulto 22Kg AR;12428940;22;1; 1.999,45 ; 1.999,45 ; 2.419,33 ; 2.419,33 ; 2.975,77 
SUPERCOAT ADVANCED ADULT CAT;12429135;15;1; 3.479,94 ; 3.479,94 ; 4.210,73 ; 4.210,73 ; 5.389,74 
DOG CHOW CACHORROS RAZAS PEQUEÑAS;12414471;1,5;9; 2.125,38 ; 236,15 ; 2.571,69 ; 285,75 ; 371,47 
DOG CHOW CACHORROS RAZAS PEQUEÑAS;12414170;3;6; 2.578,29 ; 429,71 ; 3.119,75 ; 519,95 ; 675,94 
DOG CHOW CACHORROS RAZAS PEQUEÑAS;12414473;21;1; 2.505,00 ; 2.505,00 ; 3.031,06 ; 3.031,06 ; 3.728,19 
DOG CHOW CACHORRO SIN COLORANTES;12414149;1,5;9; 2.125,37 ; 236,15 ; 2.571,70 ; 285,74 ; 371,47 
DOG CHOW CACHORRO SIN COLORANTES;12414135;3;6; 2.578,30 ; 429,72 ; 3.119,74 ; 519,96 ; 675,94 
DOG CHOW CACHORRO SIN COLORANTES;12414491;8;1; 1.044,35 ; 1.044,35 ; 1.263,66 ; 1.263,66 ; 1.579,59 
DOG CHOW CACHORRO SIN COLORANTES;12414467;15;1; 1.878,18 ; 1.878,18 ; 2.272,60 ; 2.272,60 ; 2.840,76 
DOG CHOW CACHORRO SIN COLORANTES;12414465;21;1; 2.505,00 ; 2.505,00 ; 3.031,05 ; 3.031,05 ; 3.728,18 
DOG CHOW ADULTO MINI & PEQUEÑO SIN COLORANTES;12414490;1,5;9; 2.024,22 ; 224,91 ; 2.449,31 ; 272,15 ; 353,79 
DOG CHOW ADULTO MINI & PEQUEÑO SIN COLORANTES;12414459;3;6; 2.455,65 ; 409,27 ; 2.971,33 ; 495,22 ; 643,79 
DOG CHOW ADULTO MINI & PEQUEÑO SIN COLORANTES;12414458;8;1; 994,62 ; 994,62 ; 1.203,49 ; 1.203,49 ; 1.504,37 
DOG CHOW ADULTO MINI & PEQUEÑO SIN COLORANTES;12414480;21;1; 2.385,70 ; 2.385,70 ; 2.886,70 ; 2.886,70 ; 3.550,63 
DOG CHOW ADULTO MEDIANO & GRANDE SIN COLORANTES;12414578;1,5;9; 2.024,22 ; 224,91 ; 2.449,31 ; 272,15 ; 353,79 
DOG CHOW ADULTO MEDIANO & GRANDE SIN COLORANTES;12414579;3;6; 2.455,65 ; 409,27 ; 2.971,33 ; 495,22 ; 643,79 
DOG CHOW ADULTO MEDIANO & GRANDE SIN COLORANTES;12414549;8;1; 994,62 ; 994,62 ; 1.203,49 ; 1.203,49 ; 1.504,37 
DOG CHOW ADULTO MEDIANO & GRANDE SIN COLORANTES;12414610;15;1; 1.788,73 ; 1.788,73 ; 2.164,36 ; 2.164,36 ; 2.705,47 
DOG CHOW ADULTO MEDIANO & GRANDE SIN COLORANTES;12414620;21;1; 2.385,70 ; 2.385,70 ; 2.886,70 ; 2.886,70 ; 3.550,63 
DOG CHOW LONGEVIDAD;12414160;1,5;9; 2.125,36 ; 236,15 ; 2.571,67 ; 285,73 ; 371,47 
DOG CHOW LONGEVIDAD;12414129;3;6; 2.578,35 ; 429,73 ; 3.119,81 ; 519,97 ; 675,96 
DOG CHOW LONGEVIDAD;12414107;8;1; 1.044,34 ; 1.044,34 ; 1.263,66 ; 1.263,66 ; 1.579,55 
DOG CHOW LONGEVIDAD;12414455;15;1; 1.878,16 ; 1.878,16 ; 2.272,57 ; 2.272,57 ; 2.840,73 
DOG CHOW LONGEVIDAD;12414147;21;1; 2.505,00 ; 2.505,00 ; 3.031,04 ; 3.031,04 ; 3.728,17 
DOG CHOW CONTROL DE PESO;12414128;1,5;9; 2.125,36 ; 236,15 ; 2.571,67 ; 285,73 ; 371,47 
DOG CHOW CONTROL DE PESO;12414150;3;6; 2.578,35 ; 429,73 ; 3.119,81 ; 519,97 ; 675,96 
DOG CHOW CONTROL DE PESO;12414481;8;1; 1.044,34 ; 1.044,34 ; 1.263,66 ; 1.263,66 ; 1.579,55 
DOG CHOW CONTROL DE PESO;12414151;21;1; 2.505,00 ; 2.505,00 ; 3.031,04 ; 3.031,04 ; 3.728,17 
DOGCHOWCachTdTmC/Pollo15x100gXI;12409081;0,1;15; 639,91 ; 42,66 ; 774,29 ; 51,62 ; 72,27 
DOGCHOWAdltTdTmC/Pollo15x100gXI;12409080;0,1;15; 639,91 ; 42,66 ; 774,29 ; 51,62 ; 72,27 
DOGCHOWAdltTdTmC/Pavo15x100gXI;12409086;0,1;15; 639,91 ; 42,66 ; 774,29 ; 51,62 ; 72,27 
DOGCHOWAdltMinisYPeqC/Pol15x100gXI;12409088;0,1;15; 639,91 ; 42,66 ; 774,29 ; 51,62 ; 72,27 
DOGCHOWAdltMinisYPeqC/Smn15x100gXI;12409090;0,1;15; 639,91 ; 42,66 ; 774,29 ; 51,62 ; 72,27 
DOGCHOWAdltMinisYPeqC/MixDePolYPa15x100gXI;12409089;0,1;15; 639,91 ; 42,66 ; 774,29 ; 51,62 ; 72,27 
DOG CHOW Salud Oral Adlt Minis Peq 20x45g;12418654;0,045;20; 1.276,27 ; 63,81 ; 1.544,29 ; 77,21 ; 108,10 
DOG CHOW X Life Salud Oral Adlt Med Gde 20x80g;12418618;0,08;20; 1.416,77 ; 70,84 ; 1.714,29 ; 85,71 ; 120,00 
CAT CHOW GATITOS ;12296017;0,5;10; 1.296,95 ; 129,70 ; 1.569,31 ; 156,93 ; 204,01 
CAT CHOW GATITOS ;12296016;1;8; 1.910,05 ; 238,76 ; 2.311,15 ; 288,90 ; 375,56 
CAT CHOW GATITOS ;12296015;8;1; 1.543,20 ; 1.543,20 ; 1.867,26 ; 1.867,26 ; 2.334,07 
CAT CHOW GATITOS ;12296018;15;1; 2.654,56 ; 2.654,56 ; 3.212,03 ; 3.212,03 ; 4.015,02 
CAT CHOW ADULTOS;12296010;0,5;10; 1.202,79 ; 120,28 ; 1.455,38 ; 145,54 ; 189,20 
CAT CHOW ADULTOS;12296009;1;8; 1.819,10 ; 227,38 ; 2.201,09 ; 275,14 ; 357,67 
CAT CHOW ADULTOS;12296007;3;6; 3.464,00 ; 577,34 ; 4.191,45 ; 698,58 ; 908,15 
CAT CHOW ADULTOS;12296008;8;1; 1.469,70 ; 1.469,70 ; 1.778,35 ; 1.778,35 ; 2.222,93 
CAT CHOW ADULTOS;12296011;15;1; 2.528,15 ; 2.528,15 ; 3.059,07 ; 3.059,07 ; 3.823,84 
CAT CHOW ADULTOS DELICIAS SABOR CARNE;12296005;0,5;10; 1.202,79 ; 120,28 ; 1.455,38 ; 145,54 ; 189,20 
CAT CHOW ADULTOS DELICIAS SABOR CARNE;12296003;1;8; 1.819,10 ; 227,38 ; 2.201,09 ; 275,14 ; 357,67 
CAT CHOW ADULTOS DELICIAS SABOR CARNE;12297243;3;6; 3.464,00 ; 577,34 ; 4.191,45 ; 698,58 ; 908,15 
CAT CHOW ADULTOS DELICIAS SABOR CARNE;12296004;8;1; 1.469,70 ; 1.469,70 ; 1.778,35 ; 1.778,35 ; 2.222,93 
CAT CHOW ADULTOS DELICIAS SABOR CARNE;12296006;15;1; 2.528,15 ; 2.528,15 ; 3.059,07 ; 3.059,07 ; 3.823,84 
CAT CHOW ADULTOS DELI MIX;12296014;0,5;10; 1.263,09 ; 126,31 ; 1.528,34 ; 152,83 ; 198,68 
CAT CHOW ADULTOS DELI MIX;12296013;1;8; 1.910,05 ; 238,76 ; 2.311,15 ; 288,90 ; 375,56 
CAT CHOW ADULTOS DELI MIX;12296022;3;6; 3.637,21 ; 606,21 ; 4.401,04 ; 733,50 ; 953,56 
CAT CHOW ADULTOS DELI MIX;12296012;8;1; 1.543,20 ; 1.543,20 ; 1.867,26 ; 1.867,26 ; 2.334,07 
CAT CHOW ADULTOS DELI MIX;12296023;15;1; 2.654,56 ; 2.654,56 ; 3.212,03 ; 3.212,03 ; 4.015,02 
CAT CHOW HOGAREÑOS;12296021;0,5;10; 1.296,95 ; 129,70 ; 1.569,31 ; 156,93 ; 204,01 
CAT CHOW HOGAREÑOS;12296020;1;8; 1.909,81 ; 238,72 ; 2.310,87 ; 288,86 ; 375,52 
CAT CHOW HOGAREÑOS;12296019;8;1; 1.543,20 ; 1.543,20 ; 1.867,26 ; 1.867,26 ; 2.334,07 
CAT CHOW ESTERILIZADOS;12473908;0,5;10; 1.296,95 ; 129,70 ; 1.569,31 ; 156,93 ; 204,01 
CAT CHOW ESTERILIZADOS;12473944;1;8; 1.909,81 ; 238,72 ; 2.310,87 ; 288,86 ; 375,52 
CAT CHOW ESTERILIZADOS;12473945;3;6; 3.734,57 ; 622,43 ; 4.518,83 ; 753,13 ; 979,08 
CAT CHOW ESTERILIZADOS;12474093;8;1; 1.543,20 ; 1.543,20 ; 1.867,26 ; 1.867,26 ; 2.334,07 
CAT CHOW ESTERILIZADOS;12474110;15;1; 2.654,56 ; 2.654,56 ; 3.212,03 ; 3.212,03 ; 4.015,03 
CAT CHOW Gatitos Pollo 15X85g XI;12338768;0,085;15; 613,00 ; 40,86 ; 741,72 ; 49,45 ; 69,22 
CAT CHOW Esterilizados Pescado 15X85g XI;12338912;0,085;15; 613,00 ; 40,86 ; 741,72 ; 49,45 ; 69,22 
CAT CHOW Adultos Pescado 15X85g XI;12338914;0,085;15; 613,00 ; 40,86 ; 741,72 ; 49,45 ; 69,22 
CAT CHOW Adultos Pollo  15X85g XI;12338915;0,085;15; 613,00 ; 40,86 ; 741,72 ; 49,45 ; 69,22 
 FELIX Gatitos Sensaciones Pes Salsa;12434457;0,085;15; 639,65 ; 42,64 ; 773,97 ; 51,60 ; 72,23 
 FELIX Sensaciones de Atunen Salsa;12434464;0,085;15; 639,65 ; 42,64 ; 773,97 ; 51,60 ; 72,23 
 FELIX Sensaciones de Salmonen Salsa;12434450;0,085;15; 639,65 ; 42,64 ; 773,97 ; 51,60 ; 72,23 
 FELIX Gatitos Sensacione Pollo Salsa;12434307;0,085;15; 639,65 ; 42,64 ; 773,97 ; 51,60 ; 72,23 
 FELIX Sensaciones de Pes Bla Salsa;12434296;0,085;15; 639,65 ; 42,64 ; 773,97 ; 51,60 ; 72,23 
 FELIX Sensaciones Sardinaen Salsa;12434363;0,085;15; 639,65 ; 42,64 ; 773,97 ; 51,60 ; 72,23 
 FELIX Sensaciones Pollo Hgden Salsa;12434373;0,085;15; 639,65 ; 42,64 ; 773,97 ; 51,60 ; 72,23 
 FELIX Sensaciones de Pavoen Salsa;12434380;0,085;15; 639,65 ; 42,64 ; 773,97 ; 51,60 ; 72,23 
FANCY FEAST Petit Filet Salmon15x85gXI ;12429766;0,085;15; 980,80 ; 65,39 ; 1.186,77 ; 79,12 ; 110,76 
FANCY FEAST Goulash Pavo 15x85gXI;12429776;0,085;15; 980,80 ; 65,39 ; 1.186,77 ; 79,12 ; 110,76 
FANCY FEAST Goulash Atum15x85gXI;12429897;0,085;15; 980,80 ; 65,39 ; 1.186,77 ; 79,12 ; 110,76 
FANCY FEAST Demi Glace Slm15x85gXI;12429905;0,085;15; 980,80 ; 65,39 ; 1.186,77 ; 79,12 ; 110,76 
FANCY FEAST Demi Glace Pollo 15x85gXI;12429884;0,085;15; 980,80 ; 65,39 ; 1.186,77 ; 79,12 ; 110,76 
FANCY FEAST Cass Atm Slm 15x85gXI;12429886;0,085;15; 980,80 ; 65,39 ; 1.186,77 ; 79,12 ; 110,76 
FANCY FEAST Cass PolloPavo 15x85gXI;12429907;0,085;15; 980,80 ; 65,39 ; 1.186,77 ; 79,12 ; 110,76 
DOGUI CACHORROS, CARNE, CEREALES Y LECHE;12369772;1,5;9; 1.798,92 ; 199,88 ; 2.176,69 ; 241,85 ; 314,41 
DOGUI CACHORROS, CARNE, CEREALES Y LECHE;12369677;3;6; 2.161,68 ; 360,28 ; 2.615,63 ; 435,94 ; 566,72 
DOGUI CACHORROS, CARNE, CEREALES Y LECHE;12369516;8;1; 837,49 ; 837,49 ; 1.013,37 ; 1.013,37 ; 1.266,71 
DOGUI CACHORROS, CARNE, CEREALES Y LECHE;12369517;21;1; 1.929,00 ; 1.929,00 ; 2.334,09 ; 2.334,09 ; 2.870,93 
DOGUI CARNE ASADA CON SELECCIÓN DE VEGETALES;12367654;1,5;9; 1.672,47 ; 185,83 ; 2.023,68 ; 224,85 ; 292,31 
DOGUI CARNE ASADA CON SELECCIÓN DE VEGETALES;12369675;3;6; 1.968,53 ; 328,09 ; 2.381,92 ; 396,99 ; 516,08 
DOGUI CARNE ASADA CON SELECCIÓN DE VEGETALES;12369560;8;1; 760,77 ; 760,77 ; 920,53 ; 920,53 ; 1.150,67 
DOGUI CARNE ASADA CON SELECCIÓN DE VEGETALES;12367794;15;1; 1.346,94 ; 1.346,94 ; 1.629,79 ; 1.629,79 ; 2.037,24 
DOGUI CARNE ASADA CON SELECCIÓN DE VEGETALES;12367796;21;1; 1.772,17 ; 1.772,17 ; 2.144,32 ; 2.144,32 ; 2.637,52 
DOGUI POLLO GRILLADO CON SELECCIÓN DE VEGETALES;12369676;1,5;9; 1.672,47 ; 185,83 ; 2.023,68 ; 224,85 ; 292,31 
DOGUI POLLO GRILLADO CON SELECCIÓN DE VEGETALES;12369682;3;6; 1.968,53 ; 328,09 ; 2.381,92 ; 396,99 ; 516,08 
DOGUI POLLO GRILLADO CON SELECCIÓN DE VEGETALES;12369684;21;1; 1.772,17 ; 1.772,17 ; 2.144,32 ; 2.144,32 ; 2.637,52 
DOGUI CARNE CON CEREALES Y ARROZ;12369652;1,5;9; 1.672,47 ; 185,83 ; 2.023,68 ; 224,85 ; 292,31 
DOGUI CARNE CON CEREALES Y ARROZ;12369653;3;6; 1.968,53 ; 328,09 ; 2.381,92 ; 396,99 ; 516,08 
DOGUI CARNE CON CEREALES Y ARROZ;12369651;8;1; 760,77 ; 760,77 ; 920,53 ; 920,53 ; 1.150,67 
DOGUI CARNE CON CEREALES Y ARROZ;12369683;15;1; 1.346,94 ; 1.346,94 ; 1.629,79 ; 1.629,79 ; 2.037,24 
DOGUI CARNE CON CEREALES Y ARROZ;12369679;21;1; 1.772,17 ; 1.772,17 ; 2.144,32 ; 2.144,32 ; 2.637,52 
GATI PESCADO  y VEGETALES;12417248;0,5;10; 873,44 ; 87,34 ; 960,79 ; 105,69 ; 137,37 
GATI PESCADO  y VEGETALES;12409756;1;8; 1.257,49 ; 157,18 ; 1.521,57 ; 190,20 ; 247,26 
GATI PESCADO  y VEGETALES;12409755;3;6; 2.593,54 ; 432,26 ; 3.138,19 ; 523,04 ; 679,93 
GATI PESCADO  y VEGETALES;12409746;8;1; 982,64 ; 982,64 ; 1.189,01 ; 1.189,01 ; 1.486,26 
GATI PESCADO  y VEGETALES;12409757;15;1; 1.681,92 ; 1.681,92 ; 2.035,14 ; 2.035,14 ; 2.543,91 
GATI POLLO y VEGETALES;12409758;1;8; 1.257,49 ; 157,18 ; 1.521,57 ; 190,20 ; 247,26 
GATI POLLO y VEGETALES;12409747;15;1; 1.681,92 ; 1.681,92 ; 2.035,14 ; 2.035,14 ; 2.543,91 
GATI CARNE con  CEREALES;12409945;1;8; 1.257,49 ; 157,18 ; 1.521,57 ; 190,20 ; 247,26 
GATI CARNE con  CEREALES;12409748;15;1; 1.681,92 ; 1.681,92 ; 2.035,14 ; 2.035,14 ; 2.543,91 
DOG MENU Sabor Carne 21Kg;12426569;21;1; 1.489,22 ; 1.489,22 ; 1.801,95 ; 1.801,95 ; 2.216,40 
TIDY CATS c/aglomerante;12333535;2,72;3; 2.742,58 ; 914,20 ; 3.318,51 ; 1.106,18 ; 1.659,27 
TIDY CATS piedra convencional;12376707;2;6; 852,08 ; 142,02 ; 1.031,01 ; 171,83 ; 231,98 
