Fabricante;Marca;Rubro;Linea;Especie;Edad;Raza;PRODUCTO;CODIGO;PESO UNITARIO (KGS);UNIDADES POR BULTO;PRECIO LISTA (POR BULTO SIN IVA);PRECIO LISTA (POR UNIDAD SIN IVA);PRECIO LISTA (POR BULTO CON IVA);PRECIO LISTA (POR UNIDAD CON IVA);PRECIO SUGERIDO A PUBLICO POR UNIDAD
Nestle Purina;Pro Plan VD;Alimento Seco;Medicado;Perro;Adulto;;PPVD EN (GASTROENTERIC) GASTROENTÉRICO;12383971;7,5;1; 2.539,65 ; 2.539,65 ; 3.072,97 ; 3.072,97 ; 4.609,46 
Nestle Purina;Pro Plan VD;Alimento Seco;Medicado;Perro;Adulto;;PPVD EN (GASTROENTERIC) GASTROENTÉRICO;12383970;2;6; 5.227,81 ; 871,30 ; 6.325,65 ; 1.054,28 ; 1.581,41 
Nestle Purina;Pro Plan VD;Alimento Seco;Medicado;Perro;Adulto;;PPVD NF (KIDNEY FUNCTION) NEFROLÓGICO;12383975;7,5;1; 2.539,65 ; 2.539,65 ; 3.072,97 ; 3.072,97 ; 4.609,46 
Nestle Purina;Pro Plan VD;Alimento Seco;Medicado;Perro;Adulto;;PPVD NF (KIDNEY FUNCTION) NEFROLÓGICO;12383973;2;6; 5.227,81 ; 871,30 ; 6.325,65 ; 1.054,28 ; 1.581,41 
Nestle Purina;Pro Plan VD;Alimento Seco;Medicado;Perro;Adulto;;PPVD OM (OBESITY MANAGEMENT) OBESIDAD;12383978;7,5;1; 2.732,72 ; 2.732,72 ; 3.306,59 ; 3.306,59 ; 4.959,89 
Nestle Purina;Pro Plan VD;Alimento Seco;Medicado;Perro;Adulto;;PPVD OM (OBESITY MANAGEMENT) OBESIDAD;12383976;2;6; 5.465,44 ; 910,91 ; 6.613,18 ; 1.102,20 ; 1.653,30 
Nestle Purina;Pro Plan VD;Alimento Seco;Medicado;Perro;Adulto;;PPVD UR (URINARY) VIAS URINARIAS;12384138;7,5;1; 2.887,03 ; 2.887,03 ; 3.493,31 ; 3.493,31 ; 5.239,96 
Nestle Purina;Pro Plan VD;Alimento Seco;Medicado;Perro;Adulto;;PPVD UR (URINARY) VIAS URINARIAS;12384090;2;6; 6.043,28 ; 1.007,21 ; 7.312,36 ; 1.218,73 ; 1.828,09 
Nestle Purina;Pro Plan VD;Alimento Seco;Medicado;Perro;Adulto;;PPVD JM (JOINT MOBILITY) MOVILIDAD ARTICULAR;12345747;7,5;1; 3.027,27 ; 3.027,27 ; 3.662,99 ; 3.662,99 ; 5.494,49 
Nestle Purina;Pro Plan VD;Alimento Seco;Medicado;Perro;Adulto;;PPVD JM (JOINT MOBILITY) MOVILIDAD ARTICULAR;12383972;2;6; 6.158,26 ; 1.026,38 ; 7.451,49 ; 1.241,92 ; 1.862,87 
Nestle Purina;Pro Plan VD;Alimento Seco;Medicado;Perro;Adulto;;PPVD NC (NEUROCARE) NEUROLOGICO ;12377833;7,5;1; 3.052,11 ; 3.052,11 ; 3.693,05 ; 3.693,05 ; 5.539,57 
Nestle Purina;Pro Plan VD;Alimento Seco;Medicado;Perro;Adulto;;PPVD NC (NEUROCARE) NEUROLOGICO ;12377830;2;6; 6.170,26 ; 1.028,38 ; 7.466,02 ; 1.244,34 ; 1.866,50 
Nestle Purina;Pro Plan VD;Alimento Seco;Medicado;Gato;Adulto;;PPVD OM (OBESITY MANAGEMENT) OBESIDAD;12384070;7,5;1; 3.279,26 ; 3.279,26 ; 3.967,91 ; 3.967,91 ; 5.951,87 
Nestle Purina;Pro Plan VD;Alimento Seco;Medicado;Gato;Adulto;;PPVD OM (OBESITY MANAGEMENT) OBESIDAD;12384077;1,5;8; 7.128,84 ; 891,10 ; 8.625,89 ; 1.078,24 ; 1.617,35 
Nestle Purina;Pro Plan VD;Alimento Seco;Medicado;Gato;Adulto;;PPVD UR (URINARY) VIAS URINARIAS;12383959;7,5;1; 3.689,29 ; 3.689,29 ; 4.464,04 ; 4.464,04 ; 6.696,05 
Nestle Purina;Pro Plan VD;Alimento Seco;Medicado;Gato;Adulto;;PPVD UR (URINARY) VIAS URINARIAS;12384079;1,5;8; 8.391,70 ; 1.048,96 ; 10.153,96 ; 1.269,24 ; 1.903,87 
Nestle Purina;Pro Plan VD;Alimento Seco;Medicado;Gato;Adulto;;PPVD DM (DIABETES MANAGEMENT) DIABETES;12384095;1,5;8; 10.078,31 ; 1.259,79 ; 12.194,75 ; 1.524,34 ; 2.286,52 
Nestle Purina;Pro Plan VD;Alimento Seco;Medicado;Gato;Adulto;;PPVD EN (GASTROENTERIC) GASTROENTÉRICO;12345828;1,5;8; 8.091,26 ; 1.011,41 ; 9.790,43 ; 1.223,80 ; 1.835,70 
Nestle Purina;Pro Plan VD;Alimento Seco;Medicado;Gato;Adulto;;PPVD NF (KIDNEY FUNCTION) NEFROLÓGICO EARLY STAGE  ;12384139;3;6; 10.945,70 ; 1.824,28 ; 13.244,30 ; 2.207,38 ; 3.311,07 
Nestle Purina;Pro Plan VD;Alimento Seco;Medicado;Gato;Adulto;;PPVD NF (KIDNEY FUNCTION) NEFROLÓGICO EARLY STAGE  ;12384137;1,5;8; 7.297,13 ; 912,14 ; 8.829,53 ; 1.103,69 ; 1.655,54 
Nestle Purina;Pro Plan VD;Alimento Seco;Medicado;Gato;Adulto;;PPVD NF (KIDNEY FUNCTION) NEFROLÓGICO ADVANCED STAGE  ;12384135;7,5;1; 3.208,08 ; 3.208,08 ; 3.881,77 ; 3.881,77 ; 5.822,66 
Nestle Purina;Pro Plan VD;Alimento Seco;Medicado;Gato;Adulto;;PPVD NF (KIDNEY FUNCTION) NEFROLÓGICO ADVANCED STAGE  ;12384134;1,5;8; 7.035,88 ; 879,48 ; 8.513,41 ; 1.064,18 ; 1.596,27 
Nestle Purina;Excellent;Alimento Seco;;Perro;Cachorro;;EXCELLENT PUPPY SMALL BREED CH&R ;12286515;1;6; 1.434,42 ; 239,08 ; 1.735,64 ; 289,27 ; 376,06 
Nestle Purina;Excellent;Alimento Seco;;Perro;Cachorro;;EXCELLENT PUPPY SMALL BREED CH&R ;12286514;3;6; 3.909,66 ; 651,61 ; 4.730,67 ; 788,45 ; 1.024,99 
Nestle Purina;Excellent;Alimento Seco;;Perro;Cachorro;;EXCELLENT PUPPY SMALL BREED CH&R ;12286513;15;1; 2.576,17 ; 2.576,17 ; 3.117,17 ; 3.117,17 ; 3.989,97 
Nestle Purina;Excellent;Alimento Seco;;Perro;Cachorro;;EXCELLENT PUPPY MEDIUM & LARGE BREED CH&R ;12286518;1;6; 1.434,42 ; 239,08 ; 1.735,64 ; 289,27 ; 376,06 
Nestle Purina;Excellent;Alimento Seco;;Perro;Cachorro;;EXCELLENT PUPPY MEDIUM & LARGE BREED CH&R ;12286519;3;6; 3.909,66 ; 651,61 ; 4.730,67 ; 788,45 ; 1.024,99 
Nestle Purina;Excellent;Alimento Seco;;Perro;Cachorro;;EXCELLENT PUPPY MEDIUM & LARGE BREED CH&R ;12286517;15;1; 2.576,17 ; 2.576,17 ; 3.117,17 ; 3.117,17 ; 3.989,97 
Nestle Purina;Excellent;Alimento Seco;;Perro;Cachorro;;EXCELLENT PUPPY MEDIUM & LARGE BREED CH&R ;12286516;20;1; 3.430,21 ; 3.430,21 ; 4.150,55 ; 4.150,55 ; 5.312,69 
Nestle Purina;Excellent;Alimento Seco;;Perro;Adulto;;EXCELLENT ADULT DOG SMALL BREED CH&R;12286476;1;6; 1.304,11 ; 217,34 ; 1.577,98 ; 263,00 ; 341,90 
Nestle Purina;Excellent;Alimento Seco;;Perro;Adulto;;EXCELLENT ADULT DOG SMALL BREED CH&R;12286477;3;6; 3.573,62 ; 595,60 ; 4.324,07 ; 720,68 ; 936,87 
Nestle Purina;Excellent;Alimento Seco;;Perro;Adulto;;EXCELLENT ADULT DOG SMALL BREED CH&R;12286504;15;1; 2.336,23 ; 2.336,23 ; 2.826,84 ; 2.826,84 ; 3.618,36 
Nestle Purina;Excellent;Alimento Seco;;Perro;Adulto;;EXCELLENT ADULT DOG MEDIUM & LARGE BREED CH&R;12286473;3;6; 3.564,45 ; 594,07 ; 4.312,98 ; 718,83 ; 934,48 
Nestle Purina;Excellent;Alimento Seco;;Perro;Adulto;;EXCELLENT ADULT DOG MEDIUM & LARGE BREED CH&R;12286474;15;1; 2.344,83 ; 2.344,83 ; 2.837,23 ; 2.837,23 ; 3.631,67 
Nestle Purina;Excellent;Alimento Seco;;Perro;Adulto;;EXCELLENT ADULT DOG MEDIUM & LARGE BREED CH&R;12286475;20;1; 3.001,85 ; 3.001,85 ; 3.632,23 ; 3.632,23 ; 4.649,26 
Nestle Purina;Excellent;Alimento Seco;;Perro;Adulto Senior;;EXCELENT ADULT 7+DOG;12286509;3;6; 3.866,52 ; 644,42 ; 4.678,49 ; 779,75 ; 1.013,67 
Nestle Purina;Excellent;Alimento Seco;;Perro;Adulto Senior;;EXCELENT ADULT 7+DOG;12286508;15;1; 2.543,54 ; 2.543,54 ; 3.077,67 ; 3.077,67 ; 3.939,44 
Nestle Purina;Excellent;Alimento Seco;;Perro;Adulto;;EXCELENT REDUCED CALORIE DOG;12286512;3;6; 3.866,52 ; 644,42 ; 4.678,49 ; 779,75 ; 1.013,67 
Nestle Purina;Excellent;Alimento Seco;;Perro;Adulto;;EXCELENT REDUCED CALORIE DOG;12286511;15;1; 2.543,54 ; 2.543,54 ; 3.077,67 ; 3.077,67 ; 3.939,44 
Nestle Purina;Excellent;Alimento Seco;;Perro;Cachorro;;EXCELLENT FORMULA PUPPY ;12286478;15;1; 2.412,02 ; 2.412,02 ; 2.918,53 ; 2.918,53 ; 3.735,72 
Nestle Purina;Excellent;Alimento Seco;;Perro;Cachorro;;EXCELLENT FORMULA PUPPY ;12286479;20;1; 3.045,61 ; 3.045,61 ; 3.685,20 ; 3.685,20 ; 4.717,04 
Nestle Purina;Excellent;Alimento Seco;;Perro;Adulto;;EXCELLENT FORMULA ADULT DOG;12286506;15;1; 2.111,52 ; 2.111,52 ; 2.554,92 ; 2.554,92 ; 3.270,30 
Nestle Purina;Excellent;Alimento Seco;;Perro;Adulto;;EXCELLENT FORMULA ADULT DOG;12286610;20;1; 2.693,23 ; 2.693,23 ; 3.258,80 ; 3.258,80 ; 4.171,28 
Nestle Purina;Excellent;Alimento Seco;;Perro;Adulto;;EXCELLENT ADULT SKIN CARE CON CORDERO;12427529;3;6; 3.910,00 ; 651,67 ; 4.731,10 ; 788,52 ; 1.025,06 
Nestle Purina;Excellent;Alimento Seco;;Perro;Adulto;;EXCELLENT ADULT SKIN CARE CON CORDERO;12427534;15;1; 2.572,12 ; 2.572,12 ; 3.112,27 ; 3.112,27 ; 3.983,72 
Nestle Purina;Excellent;Alimento Seco;;Gato;Cachorro;;EXCELLENT KITTEN Chicken & Rice;12286503;1;6; 2.268,03 ; 378,00 ; 2.744,33 ; 457,39 ; 617,47 
Nestle Purina;Excellent;Alimento Seco;;Gato;Cachorro;;EXCELLENT KITTEN Chicken & Rice;12286500;7,5;1; 2.209,88 ; 2.209,88 ; 2.673,95 ; 2.673,95 ; 3.476,13 
Nestle Purina;Excellent;Alimento Seco;;Gato;Adulto;;EXCELLENT ADULT CAT Chicken & Rice;12286483;1;6; 2.068,71 ; 344,79 ; 2.503,15 ; 417,18 ; 563,20 
Nestle Purina;Excellent;Alimento Seco;;Gato;Adulto;;EXCELLENT ADULT CAT Chicken & Rice;12286484;3;6; 5.602,49 ; 933,75 ; 6.779,01 ; 1.129,83 ; 1.525,27 
Nestle Purina;Excellent;Alimento Seco;;Gato;Adulto;;EXCELLENT ADULT CAT Chicken & Rice;12286505;7,5;1; 2.012,12 ; 2.012,12 ; 2.434,68 ; 2.434,68 ; 3.165,07 
Nestle Purina;Excellent;Alimento Seco;;Gato;Adulto;;EXCELLENT ADULT CAT Chicken & Rice;12286507;15;1; 3.882,02 ; 3.882,02 ; 4.697,25 ; 4.697,25 ; 6.012,48 
Nestle Purina;Excellent;Alimento Seco;;Gato;Adulto;;EXCELLENT ADULT CAT RED. CAL. CH&R ;12286522;1;6; 2.304,14 ; 384,02 ; 2.788,00 ; 464,68 ; 627,30 
Nestle Purina;Excellent;Alimento Seco;;Gato;Adulto;;EXCELLENT ADULT CAT RED. CAL. CH&R ;12286510;7,5;1; 2.242,16 ; 2.242,16 ; 2.713,02 ; 2.713,02 ; 3.526,92 
Nestle Purina;Excellent;Alimento Seco;Urinario;Gato;Adulto;;EXCELLENT URINARY CAT CH&R;12286521;1;6; 2.304,14 ; 384,02 ; 2.788,00 ; 464,68 ; 627,30 
Nestle Purina;Excellent;Alimento Seco;Urinario;Gato;Adulto;;EXCELLENT URINARY CAT CH&R;12286501;7,5;1; 2.242,16 ; 2.242,16 ; 2.713,02 ; 2.713,02 ; 3.526,92 
Nestle Purina;Spercoat;Alimento Seco;;;Cachorro;;SUPERCOAT ADVANCED PUPPY ALL BREED;12431880;22;1; 3.298,13 ; 3.298,13 ; 3.990,74 ; 3.990,74 ; 5.108,14 
Nestle Purina;Spercoat;Alimento Seco;;;Adulto;;SUPERCOAT ADVANCED ADULT DOG ALL BREED ;12429148;22;1; 2.960,64 ; 2.960,64 ; 3.582,38 ; 3.582,38 ; 4.585,44 
Nestle Purina;Spercoat;Alimento Seco;;;Adulto;;SUPERCOAT Maintenance Perro Adulto 22Kg AR;12428940;22;1; 1.999,45 ; 1.999,45 ; 2.419,33 ; 2.419,33 ; 2.975,77 
Nestle Purina;Spercoat;Alimento Seco;;Gato;Adulto;;SUPERCOAT ADVANCED ADULT CAT;12429135;15;1; 3.479,94 ; 3.479,94 ; 4.210,73 ; 4.210,73 ; 5.389,74 
Nestle Purina;Dog Chow;Alimento Seco;;Perro;Cachorro;;DOG CHOW CACHORROS RAZAS PEQUEÑAS;12414471;1,5;9; 2.125,38 ; 236,15 ; 2.571,69 ; 285,75 ; 371,47 
Nestle Purina;Dog Chow;Alimento Seco;;Perro;Cachorro;;DOG CHOW CACHORROS RAZAS PEQUEÑAS;12414170;3;6; 2.578,29 ; 429,71 ; 3.119,75 ; 519,95 ; 675,94 
Nestle Purina;Dog Chow;Alimento Seco;;Perro;Cachorro;;DOG CHOW CACHORROS RAZAS PEQUEÑAS;12414473;21;1; 2.505,00 ; 2.505,00 ; 3.031,06 ; 3.031,06 ; 3.728,19 
Nestle Purina;Dog Chow;Alimento Seco;;Perro;Cachorro;;DOG CHOW CACHORRO SIN COLORANTES;12414149;1,5;9; 2.125,37 ; 236,15 ; 2.571,70 ; 285,74 ; 371,47 
Nestle Purina;Dog Chow;Alimento Seco;;Perro;Cachorro;;DOG CHOW CACHORRO SIN COLORANTES;12414135;3;6; 2.578,30 ; 429,72 ; 3.119,74 ; 519,96 ; 675,94 
Nestle Purina;Dog Chow;Alimento Seco;;Perro;Cachorro;;DOG CHOW CACHORRO SIN COLORANTES;12414491;8;1; 1.044,35 ; 1.044,35 ; 1.263,66 ; 1.263,66 ; 1.579,59 
Nestle Purina;Dog Chow;Alimento Seco;;Perro;Cachorro;;DOG CHOW CACHORRO SIN COLORANTES;12414467;15;1; 1.878,18 ; 1.878,18 ; 2.272,60 ; 2.272,60 ; 2.840,76 
Nestle Purina;Dog Chow;Alimento Seco;;Perro;Cachorro;;DOG CHOW CACHORRO SIN COLORANTES;12414465;21;1; 2.505,00 ; 2.505,00 ; 3.031,05 ; 3.031,05 ; 3.728,18 
Nestle Purina;Dog Chow;Alimento Seco;;Perro;Adulto;;DOG CHOW ADULTO MINI & PEQUEÑO SIN COLORANTES;12414490;1,5;9; 2.024,22 ; 224,91 ; 2.449,31 ; 272,15 ; 353,79 
Nestle Purina;Dog Chow;Alimento Seco;;Perro;Adulto;;DOG CHOW ADULTO MINI & PEQUEÑO SIN COLORANTES;12414459;3;6; 2.455,65 ; 409,27 ; 2.971,33 ; 495,22 ; 643,79 
Nestle Purina;Dog Chow;Alimento Seco;;Perro;Adulto;;DOG CHOW ADULTO MINI & PEQUEÑO SIN COLORANTES;12414458;8;1; 994,62 ; 994,62 ; 1.203,49 ; 1.203,49 ; 1.504,37 
Nestle Purina;Dog Chow;Alimento Seco;;Perro;Adulto;;DOG CHOW ADULTO MINI & PEQUEÑO SIN COLORANTES;12414480;21;1; 2.385,70 ; 2.385,70 ; 2.886,70 ; 2.886,70 ; 3.550,63 
Nestle Purina;Dog Chow;Alimento Seco;;Perro;Adulto;;DOG CHOW ADULTO MEDIANO & GRANDE SIN COLORANTES;12414578;1,5;9; 2.024,22 ; 224,91 ; 2.449,31 ; 272,15 ; 353,79 
Nestle Purina;Dog Chow;Alimento Seco;;Perro;Adulto;;DOG CHOW ADULTO MEDIANO & GRANDE SIN COLORANTES;12414579;3;6; 2.455,65 ; 409,27 ; 2.971,33 ; 495,22 ; 643,79 
Nestle Purina;Dog Chow;Alimento Seco;;Perro;Adulto;;DOG CHOW ADULTO MEDIANO & GRANDE SIN COLORANTES;12414549;8;1; 994,62 ; 994,62 ; 1.203,49 ; 1.203,49 ; 1.504,37 
Nestle Purina;Dog Chow;Alimento Seco;;Perro;Adulto;;DOG CHOW ADULTO MEDIANO & GRANDE SIN COLORANTES;12414610;15;1; 1.788,73 ; 1.788,73 ; 2.164,36 ; 2.164,36 ; 2.705,47 
Nestle Purina;Dog Chow;Alimento Seco;;Perro;Adulto;;DOG CHOW ADULTO MEDIANO & GRANDE SIN COLORANTES;12414620;21;1; 2.385,70 ; 2.385,70 ; 2.886,70 ; 2.886,70 ; 3.550,63 
Nestle Purina;Dog Chow;Alimento Seco;;Perro;Adulto;;DOG CHOW LONGEVIDAD;12414160;1,5;9; 2.125,36 ; 236,15 ; 2.571,67 ; 285,73 ; 371,47 
Nestle Purina;Dog Chow;Alimento Seco;;Perro;Adulto;;DOG CHOW LONGEVIDAD;12414129;3;6; 2.578,35 ; 429,73 ; 3.119,81 ; 519,97 ; 675,96 
Nestle Purina;Dog Chow;Alimento Seco;;Perro;Adulto;;DOG CHOW LONGEVIDAD;12414107;8;1; 1.044,34 ; 1.044,34 ; 1.263,66 ; 1.263,66 ; 1.579,55 
